Date,Open,High,Low,Close,Adj Close,Volume
2018-04-24,21.904383,22.065512,21.600033,21.698498,18.583914,3756119
2018-04-25,21.662691,22.110268,21.510515,21.895432,18.752584,2936483
2018-04-26,21.886480,22.002850,21.635838,21.761160,18.637583,3213419
2018-04-27,21.671644,21.940189,21.295679,21.519468,18.430578,2829238
2018-04-30,21.626886,21.725353,21.519468,21.519468,18.430578,2464720
2018-05-01,21.474710,21.582129,21.161407,21.537371,18.445921,3974183
2018-05-02,21.528419,21.814869,21.456806,21.734304,18.614582,4799852
2018-05-03,21.600033,21.770109,21.277777,21.474710,18.392246,8082533
2018-05-04,21.403097,21.949141,21.250921,21.886480,18.744911,3675463
2018-05-07,21.877529,22.172930,21.626886,22.056559,18.890577,3193757
2018-05-08,22.038656,22.172930,21.859627,21.877529,18.737244,5577932
2018-05-09,21.922285,22.128172,21.796965,22.056559,18.890577,2834824
2018-05-10,22.047607,22.280348,21.975996,22.190832,19.005577,3241682
2018-05-11,22.137123,22.298250,21.958094,21.984947,18.829247,3038476
2018-05-14,22.029705,22.217688,21.922285,21.993898,18.836916,3217999
2018-05-15,21.886480,21.993898,21.250921,21.295679,18.238914,4260056
2018-05-16,21.259874,21.295679,20.857056,21.036085,18.016584,3447122
2018-05-17,21.027134,21.152454,20.982376,20.982376,17.970585,2056633
2018-05-18,21.027134,21.027134,20.678024,20.678024,17.709917,1863146
2018-05-21,20.785442,20.937618,20.749638,20.794394,17.809582,1897330
2018-05-22,20.812298,21.161407,20.812298,21.045036,18.024244,2615532
2018-05-23,20.955523,21.027134,20.830200,21.009232,17.993580,2034849
2018-05-24,20.901814,21.161407,20.597462,20.660122,17.694586,1312961
2018-05-25,20.588509,20.830200,20.588509,20.803347,17.817253,1551803
2018-05-29,20.516897,20.552704,19.738113,19.863436,17.012255,2451649
2018-05-30,20.069321,20.114079,19.872387,19.881338,17.027588,1943691
2018-05-31,19.899242,20.042465,19.568035,19.585938,16.774588,3666079
2018-06-01,19.836580,19.836580,19.675453,19.764969,16.927923,1776904
2018-06-04,19.845531,19.908194,19.576986,19.639647,16.820585,1711217
2018-06-05,19.630695,19.693357,19.362150,19.648600,16.828255,1561186
2018-06-06,19.648600,20.472139,19.648600,20.409479,17.479918,3096344
2018-06-07,20.525848,20.776491,20.391577,20.588509,17.633249,2287320
2018-06-08,20.588509,20.686975,20.409479,20.651171,17.686920,1933525
2018-06-11,20.686975,20.821249,20.606413,20.678024,17.709917,1626427
2018-06-12,20.794394,20.857056,20.525848,20.695927,17.725248,1829297
2018-06-13,20.686975,20.695927,20.149883,20.194641,17.295918,2106121
2018-06-14,20.248350,20.266254,20.051418,20.149883,17.257586,1838234
2018-06-15,19.943998,20.078272,19.818678,19.890289,17.111269,4689033
2018-06-18,19.827629,20.069321,19.711260,19.881338,17.103569,1737581
2018-06-19,19.747066,20.140932,19.720211,20.051418,17.249887,1944808
2018-06-20,20.319963,20.794394,20.239401,20.588509,17.711935,2657201
2018-06-21,20.516897,20.615364,20.158836,20.561655,17.688833,2069033
2018-06-22,20.740685,21.134552,20.740685,20.883909,17.966061,3702832
2018-06-25,20.812298,20.901814,20.418430,20.695927,17.804346,2861077
2018-06-26,20.785442,21.000278,20.561655,20.803347,17.896757,3034008
2018-06-27,20.686975,20.794394,20.337866,20.337866,17.496317,2697641
2018-06-28,20.337866,20.633266,20.266254,20.454235,17.596422,2214371
2018-06-29,20.570606,20.821249,20.346819,20.355768,17.511715,2835047
2018-07-02,20.194641,20.409479,19.997707,20.140932,17.326891,2112377
2018-07-03,20.230448,20.311012,20.096174,20.185690,17.365400,1191417
2018-07-05,20.328915,20.328915,20.167788,20.248350,17.419298,1658935
2018-07-06,20.293110,20.454235,20.212545,20.382624,17.534815,1754003
2018-07-09,20.498995,20.848103,20.400526,20.785442,17.881355,1480195
2018-07-10,20.740685,20.839151,20.686975,20.695927,17.804346,1133326
